00000000 characteristics
0.00 version
1 ordinal base
1059 number of functions
1059 number of names
1 0 00009540 GetHSteamPipe
2 1 00009550 GetHSteamUser
3 2 00009540 SteamAPI_GetHSteamPipe
4 3 00009550 SteamAPI_GetHSteamUser
5 4 00009560 SteamAPI_GetSteamInstallPath
6 5 00001590 SteamAPI_ISteamAppList_GetAppBuildId
7 6 000015A0 SteamAPI_ISteamAppList_GetAppInstallDir
8 7 000015C0 SteamAPI_ISteamAppList_GetAppName
9 8 000015E0 SteamAPI_ISteamAppList_GetInstalledApps
10 9 00001600 SteamAPI_ISteamAppList_GetNumInstalledApps
11 A 00001610 SteamAPI_ISteamApps_BGetDLCDataByIndex
12 B 00001630 SteamAPI_ISteamApps_BIsAppInstalled
13 C 00001650 SteamAPI_ISteamApps_BIsCybercafe
14 D 00001660 SteamAPI_ISteamApps_BIsDlcInstalled
15 E 00001680 SteamAPI_ISteamApps_BIsLowViolence
16 F 00001690 SteamAPI_ISteamApps_BIsSubscribed
17 10 000016A0 SteamAPI_ISteamApps_BIsSubscribedApp
18 11 000016C0 SteamAPI_ISteamApps_BIsSubscribedFromFamilySharing
19 12 000016D0 SteamAPI_ISteamApps_BIsSubscribedFromFreeWeekend
20 13 000016E0 SteamAPI_ISteamApps_BIsTimedTrial
21 14 00001700 SteamAPI_ISteamApps_BIsVACBanned
22 15 00001710 SteamAPI_ISteamApps_GetAppBuildId
23 16 00001720 SteamAPI_ISteamApps_GetAppInstallDir
24 17 00001740 SteamAPI_ISteamApps_GetAppOwner
25 18 00001760 SteamAPI_ISteamApps_GetAvailableGameLanguages
26 19 00001770 SteamAPI_ISteamApps_GetCurrentBetaName
27 1A 00001790 SteamAPI_ISteamApps_GetCurrentGameLanguage
28 1B 000017A0 SteamAPI_ISteamApps_GetDLCCount
29 1C 000017B0 SteamAPI_ISteamApps_GetDlcDownloadProgress
30 1D 000017D0 SteamAPI_ISteamApps_GetEarliestPurchaseUnixTime
31 1E 000017E0 SteamAPI_ISteamApps_GetFileDetails
32 1F 00001800 SteamAPI_ISteamApps_GetInstalledDepots
33 20 00001820 SteamAPI_ISteamApps_GetLaunchCommandLine
34 21 00001840 SteamAPI_ISteamApps_GetLaunchQueryParam
35 22 00001850 SteamAPI_ISteamApps_InstallDLC
36 23 00001860 SteamAPI_ISteamApps_MarkContentCorrupt
37 24 00001880 SteamAPI_ISteamApps_RequestAllProofOfPurchaseKeys
38 25 00001890 SteamAPI_ISteamApps_RequestAppProofOfPurchaseKey
39 26 000018A0 SteamAPI_ISteamApps_UninstallDLC
40 27 000018B0 SteamAPI_ISteamClient_BReleaseSteamPipe
41 28 000018D0 SteamAPI_ISteamClient_BShutdownIfAllPipesClosed
42 29 000018E0 SteamAPI_ISteamClient_ConnectToGlobalUser
43 2A 000018F0 SteamAPI_ISteamClient_CreateLocalUser
44 2B 00001600 SteamAPI_ISteamClient_CreateSteamPipe
45 2C 00001910 SteamAPI_ISteamClient_GetIPCCallCount
46 2D 00001920 SteamAPI_ISteamClient_GetISteamAppList
47 2E 00001940 SteamAPI_ISteamClient_GetISteamApps
48 2F 00001960 SteamAPI_ISteamClient_GetISteamController
49 30 00001980 SteamAPI_ISteamClient_GetISteamFriends
50 31 000019A0 SteamAPI_ISteamClient_GetISteamGameSearch
51 32 000019C0 SteamAPI_ISteamClient_GetISteamGameServer
52 33 000019E0 SteamAPI_ISteamClient_GetISteamGameServerStats
53 34 00001A00 SteamAPI_ISteamClient_GetISteamGenericInterface
54 35 00001A20 SteamAPI_ISteamClient_GetISteamHTMLSurface
55 36 00001A40 SteamAPI_ISteamClient_GetISteamHTTP
56 37 00001A60 SteamAPI_ISteamClient_GetISteamInput
57 38 00001A80 SteamAPI_ISteamClient_GetISteamInventory
58 39 00001AA0 SteamAPI_ISteamClient_GetISteamMatchmaking
59 3A 00001AC0 SteamAPI_ISteamClient_GetISteamMatchmakingServers
60 3B 00001AE0 SteamAPI_ISteamClient_GetISteamMusic
61 3C 00001B00 SteamAPI_ISteamClient_GetISteamMusicRemote
62 3D 00001B20 SteamAPI_ISteamClient_GetISteamNetworking
63 3E 00001B40 SteamAPI_ISteamClient_GetISteamParentalSettings
64 3F 00001B60 SteamAPI_ISteamClient_GetISteamParties
65 40 00001B80 SteamAPI_ISteamClient_GetISteamRemotePlay
66 41 00001800 SteamAPI_ISteamClient_GetISteamRemoteStorage
67 42 00001720 SteamAPI_ISteamClient_GetISteamScreenshots
68 43 00001BA0 SteamAPI_ISteamClient_GetISteamUGC
69 44 00001BC0 SteamAPI_ISteamClient_GetISteamUser
70 45 00001BE0 SteamAPI_ISteamClient_GetISteamUserStats
71 46 00001C00 SteamAPI_ISteamClient_GetISteamUtils
72 47 00001C20 SteamAPI_ISteamClient_GetISteamVideo
73 48 00001C40 SteamAPI_ISteamClient_ReleaseUser
74 49 00001C60 SteamAPI_ISteamClient_SetLocalIPBinding
75 4A 00001C80 SteamAPI_ISteamClient_SetWarningMessageHook
76 4B 00001C90 SteamAPI_ISteamController_ActivateActionSet
77 4C 00001CB0 SteamAPI_ISteamController_ActivateActionSetLayer
78 4D 00001CD0 SteamAPI_ISteamController_DeactivateActionSetLayer
79 4E 00001C00 SteamAPI_ISteamController_DeactivateAllActionSetLayers
80 4F 00001A20 SteamAPI_ISteamController_GetActionOriginFromXboxOrigin
81 50 00001CF0 SteamAPI_ISteamController_GetActionSetHandle
82 51 00001AA0 SteamAPI_ISteamController_GetActiveActionSetLayers
83 52 00001D10 SteamAPI_ISteamController_GetAnalogActionData
84 53 00001D50 SteamAPI_ISteamController_GetAnalogActionHandle
85 54 00001D70 SteamAPI_ISteamController_GetAnalogActionOrigins
86 55 00001DA0 SteamAPI_ISteamController_GetConnectedControllers
87 56 00001DB0 SteamAPI_ISteamController_GetControllerBindingRevision
88 57 00001DD0 SteamAPI_ISteamController_GetControllerForGamepadIndex
89 58 00001DF0 SteamAPI_ISteamController_GetCurrentActionSet
90 59 00001E10 SteamAPI_ISteamController_GetDigitalActionData
91 5A 00001E30 SteamAPI_ISteamController_GetDigitalActionHandle
92 5B 00001E50 SteamAPI_ISteamController_GetDigitalActionOrigins
93 5C 00001E80 SteamAPI_ISteamController_GetGamepadIndexForController
